wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
58027	58027	3428	11715	42	XUZHOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
57993	ZSGZ	2585	11495	125	GANZHOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
57972	57972	2582	11302	185	CHENZHOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
57957	ZGKL	2533	11030	166	GUILIN	NULL	7,10,18	NULL	2020-01-19 11:00:00
57816	ZUGY	2658	10672	1074	GUIYANG	NULL	7,10,18	NULL	2020-01-20 11:00:00
57749	57749	2757	11000	261	HUAIHUA	NULL	7,10,18	NULL	2020-01-18 11:00:00
57679	ZGCS	2820	11308	46	CHANGSHA/DATUOPU	NULL	7,10,18	NULL	2018-03-31 11:00:00
57516	ZUCK	2952	10648	351	CHONGQING/CHUNGKING	NULL	7,10,18	NULL	2020-01-19 11:00:00
57494	ZHHH	3062	11413	23	WUHAN/NANHU	NULL	7,10,18	NULL	2020-01-20 11:00:00
57461	57461	3070	11128	134	YICHANG	NULL	7,10,18	NULL	2020-01-20 11:00:00
57447	57447	3028	10947	458	ENSHI	NULL	7,10,18	NULL	2020-01-19 11:00:00
57178	57178	3302	11253	131	NANYANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
57127	57127	3307	10703	509	HANZHONG	NULL	7,10,18	NULL	2020-01-20 23:00:00
57083	ZHCC	3472	11365	111	ZHENGZHOU	NULL	7,10,18	NULL	2020-01-20 23:00:00
57036	ZLSN	3429	10893	398	XI'AN	NULL	7,10,18	NULL	NULL
56985	56985	2338	10338	1302	MENGZI	NULL	7,10,18	NULL	2020-01-19 12:00:00
56964	56964	2277	10098	1303	SIMAO	NULL	7,10,18	NULL	2020-01-19 11:00:00
56778	ZPPP	2502	10268	1892	KUNMING/WUJIABA	NULL	7,10,18	NULL	2020-01-20 11:00:00
56739	56739	2503	9848	1649	TENGCHONG	NULL	7,10,18	NULL	2020-01-19 11:00:00
56691	56691	2687	10428	2236	WEINING	NULL	7,10,18	NULL	2020-01-19 11:00:00
56571	56571	2790	10227	1599	XICHANG	NULL	7,10,18	NULL	2020-01-18 23:00:00
56146	56146	3162	10000	3394	GARZE	NULL	7,10,18	NULL	2020-01-19 11:00:00
56137	56137	3115	9717	3307	QAMDO	NULL	7,10,18	NULL	2020-01-19 11:00:00
56080	56080	3497	10290	2910	HEZUO	NULL	7,10,18	NULL	2020-01-19 11:00:00
56029	56029	3302	9702	3682	YUSHU	NULL	7,10,18	NULL	2020-01-19 11:00:00
55591	ZULS	2967	9113	3650	LHASA	NULL	7,10,18	NULL	2020-01-19 11:00:00
55299	55299	3148	9207	4508	NAGQU	NULL	7,10,18	NULL	2020-01-20 11:00:00
54857	ZSQD	3607	12033	77	QINGDAO/TSINGTAO	NULL	7,10,18	NULL	2020-01-19 11:00:00
54662	ZYTL	3890	12163	97	DALIAN/DAIREN/LUDA	NULL	7,10,18	NULL	2020-01-19 11:00:00
54511	ZBAA	3993	11628	55	BEIJING/PEKING	NULL	7,10,18	NULL	2020-01-20 23:00:00
54497	54497	4008	12433	14	DANDONG	NULL	7,10,18	NULL	NULL
54374	54374	4172	12692	333	LINJIANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
54342	ZYYY	4177	12343	43	SHENYANG/DONGTA	NULL	7,10,18	NULL	2019-03-31 11:00:00
54337	54337	4112	12107	70	JINZHOU	NULL	7,10,18	NULL	NULL
54292	54292	4288	12947	178	YANJI	NULL	7,10,18	NULL	2020-01-18 11:00:00
54218	54218	4227	11897	572	CHIFENG/ULANHAD	NULL	7,10,18	NULL	2020-01-20 23:00:00
54161	ZYCC	4390	12522	238	CHANGCHUN	NULL	7,10,18	NULL	2020-01-19 11:00:00
54135	54135	4360	12227	180	TONGLIAO	NULL	7,10,18	NULL	2020-01-19 11:00:00
54102	54102	4395	11607	991	XILIN HOT/ABAGNAR	NULL	7,10,18	NULL	2020-01-19 11:00:00
53915	53915	3555	10667	1348	PINGLIANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
53845	ZLYA	3660	10950	959	YAN AN	NULL	7,10,18	NULL	2020-01-20 23:00:00
53772	ZBYN	3778	11255	779	TAIYUAN/WUSU	NULL	7,10,18	NULL	2020-01-20 23:00:00
53614	ZLIC	3848	10622	1112	YINCHUAN	NULL	7,10,18	NULL	2020-01-19 11:00:00
53513	53513	4077	10740	1041	LINHE	NULL	7,10,18	NULL	2020-01-19 11:00:00
53463	ZBHH	4082	11168	1065	HOHHOT	NULL	7,10,18	NULL	2020-01-20 23:00:00
53068	53068	4365	11200	966	ERENHOT	NULL	7,10,18	NULL	2020-01-20 11:00:00
52866	ZLXN	3662	10177	2262	XINING	NULL	7,10,18	NULL	2020-01-19 11:00:00
52836	52836	3630	9810	3192	DULAN/QAGAN US	NULL	7,10,18	NULL	2020-01-19 11:00:00
52818	52818	3642	9490	2809	GOLMUD	NULL	7,10,18	NULL	2020-01-19 11:00:00
52681	52681	3863	10308	1367	MINQIN	NULL	7,10,18	NULL	2020-01-20 11:00:00
52533	ZLJQ	3977	9848	1478	JIUQUAN/SUZHOU	NULL	7,10,18	NULL	2020-01-20 23:00:00
52418	52418	4015	9468	1140	DUNHUANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
52323	52323	4180	9703	1770	MAZONG SHAN (MOUNT)	NULL	7,10,18	NULL	2020-01-18 23:00:00
52267	52267	4195	10107	941	EJIN QI	NULL	7,10,18	NULL	2020-01-19 11:00:00
52203	ZWHM	4282	9352	739	HAMI	NULL	7,10,18	NULL	2020-01-19 11:00:00
51839	51839	3707	8277	1410	MINFENG/NIYA	NULL	7,10,18	NULL	2020-01-18 11:00:00
51828	ZWTN	3713	7993	1375	HOTAN	NULL	7,10,18	NULL	2020-01-19 11:00:00
