wmoid	name	descript	lat	lon	elev
83779	SBMT	MARTE (CIV/MIL)	-2352	-4663	722
83840	SBCT	CURITIBA/AFONSO PEN	-2552	-4917	908
85442	SCFA	ANTOFAGASTA/CERRO	-2343	-7043	120
85586	SCSN	SANTO DOMINGO	-3365	-7162	75
85799	SCTE	PUERTO MONTT/TEPUAL	-4142	-7308	86
85934	SCCI	PUNTA ARENAS	-5300	-7085	37
87047	SASA	SALTA AIRPORT	-2485	-6548	1216
87155	SARE	RESISTENCIA AIRPORT	-2745	-5905	52
87344	SACO	CORDOBA AIRPORT	-3132	-6422	474
87418	SAME	MENDOZA/EL PLUMERIL	-3283	-6878	704
87576	SAEZ	BUENOS AIRES/EZEIZA	-3482	-5853	20
87623	SAZR	SANTA ROSA AIRPORT	-3657	-6427	191
87860	SAVC	COMODORO RIVADAVIA	-4578	-6750	46
89002	89002	VON-NEUMAYER G-BASE	-7067	-825	40
89009	89009	AMUNDSEN-SCOTT	-9000	0	2830
89022	89022	HALLEY BRI-BASE	-7550	-2665	30
89532	89532	SYOWA JAPAN-BASE	-6900	3958	21
89664	89664	MCMURDO USA-BASE	-7785	16667	34
91212	PGAC	GUAM,MARIANA IS	1355	14483	111
91285	ITO	HILO	1972	-15507	10
91334	PTKK	TRUK INTL/MOEN ISL	747	15185	2
